Date,Sales,Quantity,Transactions,Sales_Lag1,Quantity_Lag1,Sales_Lag7,Quantity_Lag7,Sales_Lag30,Quantity_Lag30,Sales_MA7,Sales_Std7,Quantity_MA7,Sales_MA14,Sales_Std14,Quantity_MA14,Sales_MA30,Sales_Std30,Quantity_MA30,Year,Month,Quarter,DayOfWeek,DayOfMonth,WeekOfYear,IsWeekend
2011-01-16,7242.06,4204,642,47576.9,23149.0,28836.59,17160.0,58960.79,26919.0,29877.17714285714,21090.393660167276,13952.42857142857,28042.885714285716,17788.969008047876,13629.42857142857,36393.51933333333,20543.674500879395,16622.833333333332,2011,1,1,6,16,2,1
2011-01-17,29333.02,13397,2551,7242.06,4204.0,15778.2,8202.0,47748.38,31329.0,31813.579999999994,20182.89534395483,14694.57142857143,26759.23785714286,16919.307062651675,13471.142857142857,35779.674,20467.676708295126,16025.1,2011,1,1,0,17,3,0
2011-01-18,95978.05,82978,1428,29333.02,13397.0,24569.07,12868.0,46943.71,16199.0,42014.86285714286,31038.225541287375,24710.285714285714,33171.95785714286,24042.041926132126,19178.14285714286,37414.152,23169.47391874957,18251.066666666666,2011,1,1,1,18,3,0
2011-01-19,25934.57,17387,1407,95978.05,82978.0,68655.59,28448.0,31774.95,16450.0,35911.86,29064.152138164412,23130.14285714286,34161.84785714286,23382.905943850117,20009.071428571428,37219.47266666666,23242.910918422494,18282.3,2011,1,1,2,19,3,0
2011-01-20,21246.99,10489,1477,25934.57,17387.0,24693.78,10622.0,54830.46,21795.0,35419.46142857143,29314.005571343903,23111.14285714286,34534.770000000004,23111.476103182024,20141.214285714286,36100.023666666675,23174.103171773517,17905.433333333334,2011,1,1,3,20,3,0
2011-01-21,32640.3,15305,1532,21246.99,10489.0,20624.64,10174.0,99618.2,25220.0,37135.98428571429,28647.50535366554,23844.14285714286,34535.186428571425,23111.439281723873,19822.214285714286,33867.427,19828.58351621078,17574.933333333334,2011,1,1,4,21,3,0
2011-01-23,10400.25,5241,860,32640.3,15305.0,47576.9,23149.0,45389.98,23117.0,31825.034285714286,29811.689025883163,21285.85714285714,32393.572142857145,23903.47730807613,18544.571428571428,32701.10266666667,20153.838342999363,16979.066666666666,2011,1,1,6,23,3,1
2011-01-24,25733.79,12029,1472,10400.25,5241.0,7242.06,4204.0,53586.18,19930.0,34466.71,28036.73867629104,22403.714285714286,32171.943571428572,23953.326191903543,18178.071428571428,31772.689666666665,19796.932249576636,16715.7,2011,1,1,0,24,4,0
2011-01-25,29077.47,15614,1600,25733.79,12029.0,29333.02,13397.0,59182.92,21097.0,34430.20285714286,28044.702705314794,22720.428571428572,33121.89142857143,23512.82986745251,18707.5,30769.17466666667,19110.7204792132,16532.933333333334,2011,1,1,1,25,4,0
2011-01-26,19922.29,10968,1256,29077.47,15614.0,95978.05,82978.0,17329.07,10603.0,23565.094285714287,7245.919042748293,12433.285714285714,32789.97857142857,23675.08847573878,18571.785714285714,30855.61533333333,19053.61203303706,16545.1,2011,1,1,2,26,4,0
2011-01-27,23730.84,11314,1493,19922.29,10968.0,25934.57,17387.0,38006.71,17727.0,23250.27571428571,7173.322544855278,11565.714285714286,29581.067857142858,21372.50927142377,17347.928571428572,30379.753000000004,19047.123715768223,16331.333333333334,2011,1,1,3,27,4,0
2011-01-28,20090.65,9852,895,23730.84,11314.0,21246.99,10489.0,45254.73,20284.0,23085.084285714285,7240.1473458760265,11474.714285714286,29252.272857142863,21488.57110476401,17292.928571428572,29540.950333333334,18923.154705149376,15983.6,2011,1,1,4,28,4,0
2011-01-30,6615.75,3431,714,20090.65,9852.0,32640.3,15305.0,30444.62,18493.0,19367.29142857143,8141.471405789092,9778.42857142857,28251.63785714286,22234.45226586198,16811.285714285714,28746.654666666665,19378.541953559357,15481.533333333333,2011,1,1,6,30,4,1
2011-01-31,23640.36,13415,1473,6615.75,3431.0,10400.25,5241.0,49352.9,29943.0,21258.735714285714,7193.8595637804665,10946.142857142857,26541.885000000002,21543.683417023527,16116.0,27889.57,19000.66045480071,14930.6,2011,1,1,0,31,5,0
2011-02-01,29034.99,15834,1527,23640.36,13415.0,25733.79,12029.0,45418.33,16947.0,21730.335714285717,7631.042594521124,11489.714285714286,28098.522857142856,20816.972485307204,16946.714285714286,27343.45866666667,18712.742538475773,14893.5,2011,2,1,1,1,5,0
2011-02-02,21216.2,9729,1397,29034.99,15834.0,29077.47,15614.0,7534.91,3799.0,20607.29714285714,6914.38488908384,10649.0,27518.75,20892.83818716245,16684.714285714286,27799.501666666667,18377.047817374703,15091.166666666666,2011,2,1,2,2,5,0
2011-02-03,23479.83,15719,978,21216.2,9729.0,19922.29,10968.0,26789.13,14940.0,21115.51714285714,6986.015884335717,11327.714285714286,22340.305714285718,6955.064910869685,11880.5,27689.191666666666,18393.24685996824,15117.133333333333,2011,2,1,3,3,5,0
2011-02-04,25162.19,12705,1202,23479.83,15719.0,23730.84,11314.0,47304.090000000004,15613.0,21319.995714285713,7095.414890142955,11526.42857142857,22285.135714285716,6927.369052417761,11546.07142857143,26951.128333333334,18019.466243938,15020.2,2011,2,1,4,4,5,0
2011-02-06,3457.11,2048,279,25162.19,12705.0,20090.65,9852.0,6199.97,3080.0,18943.77571428571,9832.903263339658,10411.57142857143,21014.43,8569.448637906806,10943.142857142857,26859.699666666667,18134.974113683824,14985.8,2011,2,1,6,6,5,1
2011-02-07,25955.010000000002,9143,1229,3457.11,2048.0,6615.75,3431.0,12076.11,5754.0,21706.527142857143,8404.993947268747,11227.57142857143,20536.90928571429,8041.799274721707,10503.0,27322.32966666667,17920.595396386896,15098.766666666666,2011,2,1,0,7,6,0
2011-02-08,20949.920000000002,10129,1198,25955.010000000002,9143.0,23640.36,13415.0,16026.08,8639.0,21322.178571428572,8363.235195390283,10758.142857142857,21290.457142857143,7494.541591294101,10852.142857142857,27486.45766666667,17835.9175105834,15148.433333333332,2011,2,1,1,8,6,0
2011-02-09,16692.579999999998,7165,877,20949.920000000002,10129.0,29034.99,15834.0,32634.47,19771.0,19558.977142857148,7744.307430368296,9519.714285714286,20644.65642857143,7471.713041623248,10504.714285714286,26955.06133333333,17914.560589269993,14728.233333333334,2011,2,1,2,9,6,0
2011-02-10,14896.460000000001,11893,721,16692.579999999998,7165.0,21216.2,9729.0,40382.85,23128.0,18656.157142857144,7885.98837917338,9828.857142857143,19631.727142857144,7196.738054967799,10238.92857142857,26105.515,17860.055064746313,14353.733333333334,2011,2,1,3,10,6,0
2011-02-11,22873.1,10524,867,14896.460000000001,11893.0,23479.83,15719.0,28836.59,17160.0,18569.481428571427,7827.250206493214,9086.714285714286,19842.499285714286,7248.923659582368,10207.214285714286,25906.732,17861.796774315302,14132.533333333333,2011,2,1,4,11,6,0
2011-02-13,5713.63,2756,609,22873.1,10524.0,25162.19,12705.0,15778.2,8202.0,15791.115714285714,8518.303549022872,7665.428571428572,18555.555714285714,8059.529696575349,9595.92857142857,25571.246333333333,18150.77411204926,13951.0,2011,2,1,6,13,6,1
2011-02-14,26703.510000000002,13595,1087,5713.63,2756.0,3457.11,2048.0,24569.07,12868.0,19112.030000000002,7361.185619576993,9315.0,19027.902857142857,8345.13826745702,9863.285714285714,25642.394333333334,18150.89361113845,13975.233333333334,2011,2,1,0,14,7,0
2011-02-15,39875.74,22694,1314,26703.510000000002,13595.0,25955.010000000002,9143.0,68655.59,28448.0,21100.705714285716,10659.454194616583,11250.857142857143,21403.61642857143,9227.433556420923,11239.214285714286,24683.066,16483.049840697808,13783.433333333332,2011,2,1,1,15,7,0
2011-02-16,24949.1,16156,1184,39875.74,22694.0,20949.920000000002,10129.0,24693.78,10622.0,21672.01714285714,10756.752974841322,12111.857142857143,21497.09785714286,9258.413967688783,11435.0,24691.576666666668,16483.121477724086,13967.9,2011,2,1,2,16,7,0
2011-02-17,26372.670000000002,14428,1714,24949.1,16156.0,16692.579999999998,7165.0,20624.64,10174.0,23054.88714285714,10631.411354534463,13149.42857142857,21306.932142857142,9117.95390062347,11334.57142857143,24883.177666666666,16467.617427568035,14109.7,2011,2,1,3,17,7,0
2011-02-18,16208.75,9181,818,26372.670000000002,14428.0,14896.460000000001,11893.0,47576.9,23149.0,23242.35714285714,10473.976399177358,12762.0,20949.257142857146,9219.437128246129,11295.42857142857,23837.572666666667,15965.190859256985,13644.1,2011,2,1,4,18,7,0
2011-02-20,9624.69,5353,859,16208.75,9181.0,22873.1,10524.0,7242.06,4204.0,21349.727142857148,11679.43533895472,12023.285714285714,19959.604285714286,9660.00683071322,10555.0,23916.99366666667,15885.515000576068,13682.4,2011,2,1,6,20,7,1
2011-02-21,36388.75,21589,1376,9624.69,5353.0,5713.63,2756.0,29333.02,13397.0,25731.887142857147,10533.412313510962,14713.714285714286,20761.50142857143,10550.07072525024,11189.57142857143,24152.184666666668,16020.127360521481,13955.466666666667,2011,2,1,0,21,8,0
2011-02-22,32498.35,21902,1568,36388.75,21589.0,26703.510000000002,13595.0,95978.05,82978.0,26559.721428571425,10845.586284958572,15900.42857142857,22835.875714285714,9707.337233704835,12607.714285714286,22036.194666666666,8747.553496911913,11919.6,2011,2,1,1,22,8,0
2011-02-23,26891.6,13767,1571,32498.35,21902.0,39875.74,22694.0,25934.57,17387.0,24704.844285714287,9169.426185906934,14625.142857142857,22902.775,9733.678227137058,12938.0,22068.095666666668,8763.99014336335,11798.933333333332,2011,2,1,2,23,8,0
2011-02-24,22809.84,11896,1270,26891.6,13767.0,24949.1,16156.0,21246.99,10489.0,24399.235714285714,9195.541162878657,14016.57142857143,23035.626428571424,9717.6536223709,13064.214285714286,22120.190666666665,8763.585959517231,11845.833333333334,2011,2,1,3,24,8,0
2011-02-25,20595.74,10573,970,22809.84,11896.0,26372.670000000002,14428.0,32640.3,15305.0,23573.96,9247.9947412543,13465.857142857143,23314.42357142857,9576.641907627754,13307.642857142857,21718.70533333333,8538.004819202319,11688.1,2011,2,1,4,25,8,0
2011-02-27,9526.5,4870,810,20595.74,10573.0,16208.75,9181.0,10400.25,5241.0,22619.352857142858,10407.195675210702,12850.0,22930.855,10036.249264103928,12806.0,21689.58033333333,8579.336149621146,11675.733333333334,2011,2,1,6,27,8,1
2011-02-28,21755.63,9906,1680,9526.5,4870.0,9624.69,5353.0,25733.79,12029.0,24352.344285714287,8762.802731768857,13500.42857142857,22851.035714285714,10041.186389026941,12761.857142857143,21556.975,8545.348522533386,11604.966666666667,2011,2,1,0,28,9,0
2011-03-01,26354.96,12145,1354,21755.63,9906.0,36388.75,21589.0,29077.47,15614.0,22918.945714285714,7135.2792192921515,12151.285714285714,24325.41642857143,8765.685480256423,13432.5,21466.224666666665,8476.910233505787,11489.333333333334,2011,3,1,1,1,9,0
2011-03-02,18690.79,8617,891,26354.96,12145.0,32498.35,21902.0,19922.29,10968.0,20946.437142857143,5835.952379405696,10253.42857142857,23753.079285714284,8859.553096420786,13076.92857142857,21425.174666666666,8487.619698733499,11410.966666666667,2011,3,1,2,2,9,0
2011-03-03,36404.0,20127,1337,18690.79,8617.0,26891.6,13767.0,23730.84,11314.0,22305.351428571426,8113.926226775058,11162.0,23505.097857142857,8410.783066325459,12893.57142857143,21847.61333333333,8911.144590137676,11704.733333333334,2011,3,1,3,3,9,0
2011-03-04,19506.8,13572,1099,36404.0,20127.0,22809.84,11896.0,20090.65,9852.0,21833.48857142857,8175.508061371363,11401.42857142857,23116.36214285714,8464.505803386062,12709.0,21828.15166666667,8915.750424827631,11828.733333333334,2011,3,1,4,4,9,0
2011-03-06,10005.37,5049,822,19506.8,13572.0,20595.74,10573.0,6615.75,3431.0,20320.578571428574,9339.733071723631,10612.285714285714,21947.269285714287,9087.530937545855,12039.07142857143,21941.139000000003,8735.984995174413,11882.666666666666,2011,3,1,6,6,9,1
2011-03-07,32356.55,14030,1907,10005.37,5049.0,9526.5,4870.0,23640.36,13415.0,23582.014285714286,8918.869684556208,11920.857142857143,23100.683571428573,9324.819071144399,12385.42857142857,22231.67866666667,8937.072375294554,11903.166666666666,2011,3,1,0,7,10,0
2011-03-08,25081.62,14567,1583,32356.55,14030.0,21755.63,9906.0,29034.99,15834.0,24057.155714285713,8893.914031514045,12586.714285714286,24204.75,8483.6289773059,13043.57142857143,22099.899666666668,8862.129357954182,11860.933333333332,2011,3,1,1,8,10,0
2011-03-09,22038.84,11918,1242,25081.62,14567.0,26354.96,12145.0,21216.2,9729.0,23440.567142857144,8857.601860567245,12554.285714285714,23179.756428571425,7731.893154317272,12352.785714285714,22127.321,8860.573288942001,11933.9,2011,3,1,2,9,10,0
2011-03-10,26120.22,15584,1080,22038.84,11918.0,18690.79,8617.0,23479.83,15719.0,24501.914285714283,8635.948283641415,13549.57142857143,22724.175714285717,7317.3798357658225,11901.5,22215.334,8887.543752133855,11929.4,2011,3,1,3,10,10,0
2011-03-11,25475.18,10522,940,26120.22,15584.0,36404.0,20127.0,25162.19,12705.0,22940.65428571429,6948.650814289713,12177.42857142857,22623.002857142856,7264.931127503932,11669.714285714286,22225.767,8891.305234989932,11856.633333333333,2011,3,1,4,11,10,0
2011-03-13,4148.12,2749,534,25475.18,10522.0,19506.8,13572.0,3457.11,2048.0,20746.557142857146,9978.076322215502,10631.285714285714,21290.022857142856,8781.714414174148,11016.357142857143,22248.800666666666,8841.763893395422,11880.0,2011,3,1,6,13,10,1
2011-03-14,26019.55,16765,1091,4148.12,2749.0,10005.37,5049.0,25955.010000000002,9143.0,23034.29714285714,8880.382075415318,12305.0,21677.437857142857,8867.944595935807,11458.642857142857,22250.951999999997,8842.704566994607,12134.066666666668,2011,3,1,0,14,11,0
2011-03-15,23493.49,8960,1277,26019.55,16765.0,32356.55,14030.0,20949.920000000002,10129.0,21768.145714285714,7908.345786774612,11580.714285714286,22675.079999999998,8152.604276596793,11750.785714285714,22335.737666666664,8841.993954894875,12095.1,2011,3,1,1,15,11,0
2011-03-16,21948.36,12947,863,23493.49,8960.0,25081.62,14567.0,16692.579999999998,7165.0,21320.537142857145,7777.129824184776,11349.285714285714,22688.846428571433,8151.094852520959,11968.0,22510.930333333334,8778.16435674277,12287.833333333334,2011,3,1,2,16,11,0
2011-03-17,39904.94,21002,2017,21948.36,12947.0,22038.84,11918.0,14896.460000000001,11893.0,23872.837142857144,10505.29162966095,12647.0,23656.702142857142,9337.94401025454,12600.642857142857,23344.546333333335,9207.105313774095,12591.466666666667,2011,3,1,3,17,11,0
2011-03-18,28171.79,13982,1309,39904.94,21002.0,26120.22,15584.0,22873.1,10524.0,24165.918571428574,10606.569522708473,12418.142857142857,24333.91642857143,9293.788846928144,12983.857142857143,23521.169333333335,9248.479854133677,12706.733333333334,2011,3,1,4,18,11,0
2011-03-20,22153.49,14195,1444,28171.79,13982.0,25475.18,10522.0,5713.63,2756.0,23691.391428571427,10612.534832623553,12942.857142857143,23316.022857142856,8626.571135283046,12560.142857142857,24069.164666666667,8622.844821885355,13088.033333333333,2011,3,1,6,20,11,1
2011-03-21,16715.52,10311,1040,22153.49,14195.0,4148.12,2749.0,26703.510000000002,13595.0,25486.734285714287,7302.007779555967,14023.142857142857,23116.645714285718,8752.715736526663,12327.214285714286,23736.23166666667,8710.00438441793,12978.566666666668,2011,3,1,0,21,12,0
2011-03-22,31515.58,16567,2346,16715.52,10311.0,26019.55,16765.0,39875.74,22694.0,26271.88142857143,7655.758197656297,13994.857142857143,24653.089285714286,8140.675403575313,13149.92857142857,23457.559666666668,8299.908399292808,12774.333333333334,2011,3,1,1,22,12,0
2011-03-23,24091.67,14390,1287,31515.58,16567.0,23493.49,8960.0,24949.1,16156.0,26357.33571428572,7622.844475480432,14770.57142857143,24062.740714285716,7832.9210234736875,13175.642857142857,23428.978666666666,8296.070529754013,12715.466666666667,2011,3,1,2,23,12,0
2011-03-24,36697.14,18240,1544,24091.67,14390.0,21948.36,12947.0,26372.670000000002,14428.0,28464.304285714286,8216.28278962954,15526.714285714286,24892.420714285716,8533.02741189554,13438.0,23773.12766666667,8629.82884570825,12842.533333333333,2011,3,1,3,24,12,0
2011-03-25,31394.21,14096,1340,36697.14,18240.0,39904.94,21002.0,16208.75,9181.0,27248.485714285714,6737.859645715585,14540.142857142857,25560.661428571428,8657.775253625483,13593.57142857143,24279.309666666668,8616.181471238484,13006.366666666667,2011,3,1,4,25,12,0
2011-03-27,9241.35,4530,715,31394.21,14096.0,28171.79,13982.0,9624.69,5353.0,24544.13714285714,9527.175631584512,13189.857142857143,24355.027857142857,9687.815614065996,12804.0,24266.531666666666,8638.918287684113,12978.933333333332,2011,3,1,6,27,12,1
2011-03-28,23176.72,12263,1633,9241.35,4530.0,22153.49,14195.0,36388.75,21589.0,24690.312857142857,9492.167978524423,12913.857142857143,24190.852142857144,9686.848122419275,12928.357142857143,23826.130666666664,8330.90897714955,12668.066666666668,2011,3,1,0,28,13,0
2011-03-29,70711.92,32803,1941,23176.72,12263.0,16715.52,10311.0,32498.35,21902.0,32404.08428571428,19054.669737917156,16127.0,28945.409285714286,14320.164903384128,15075.07142857143,25099.916333333334,11871.599320962856,13031.433333333332,2011,3,1,1,29,13,0
2011-03-30,31885.28,20709,1531,70711.92,32803.0,31515.58,16567.0,26891.6,13767.0,32456.89857142857,19052.3088080609,16718.714285714286,29364.390000000003,14313.783450531428,15356.785714285714,25266.372333333336,11932.440633107664,13262.833333333334,2011,3,1,2,30,13,0
2011-03-31,34335.9,16886,1636,31885.28,20709.0,24091.67,14390.0,22809.84,11896.0,33920.36,18692.70975252208,17075.285714285714,30138.84785714286,14264.934446581381,15922.92857142857,25650.574333333338,12035.729122941906,13429.166666666666,2011,3,1,3,31,13,0
2011-04-01,25667.510000000002,18494,1222,34335.9,16886.0,36697.14,18240.0,20595.74,10573.0,32344.698571428573,18883.522141203295,17111.571428571428,30404.50142857143,14134.707358302247,16319.142857142857,25819.633333333335,11997.838883587292,13693.2,2011,4,2,4,1,13,0
2011-04-03,6943.15,5679,725,25667.510000000002,18494.0,31394.21,14096.0,9526.5,4870.0,28851.690000000002,21207.121169886952,15909.142857142857,28050.087857142855,15139.963340708164,15224.642857142857,25733.521666666667,12127.38276773683,13720.166666666666,2011,4,2,6,3,13,1
2011-04-04,33254.24,14013,1656,6943.15,5679.0,9241.35,4530.0,21755.63,9906.0,32282.102857142858,19368.767018404258,17263.85714285714,28413.12,15203.905532799527,15226.857142857143,26116.808666666668,12178.923690437277,13857.066666666668,2011,4,2,0,4,14,0
2011-04-05,30144.77,15995,1135,33254.24,14013.0,23176.72,12263.0,26354.96,12145.0,33277.53857142857,18998.327837897956,17797.0,28983.925714285717,15100.47844517349,15355.42857142857,26243.135666666665,12201.113977667164,13985.4,2011,4,2,1,5,14,0
2011-04-06,17362.36,9170,1070,30144.77,15995.0,70711.92,32803.0,18690.79,8617.0,25656.172857142858,10091.103774958972,14420.857142857143,29030.12857142857,15060.991298399289,15273.92857142857,26198.854666666666,12231.840465103749,14003.833333333334,2011,4,2,2,6,14,0
